evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,capped_payouts,capped_pct,pct_time_funded,days_funded,days_in_eval,start_date,config
2,2,2,5,2643.1199999999735,1005.0,1638.1199999999735,528.6239999999947,1328.439999999995,213,0,0.0,42.857142857142854,216,288,2018-01-02,fixed N=2 (trailing)
2,2,2,4,4066.439999999966,1345.0,2721.439999999966,1016.6099999999915,2000.0,185,1,25.0,56.15079365079365,283,221,2018-02-01,fixed N=2 (trailing)
2,2,2,5,2750.519999999953,1175.0,1575.5199999999531,550.1039999999906,909.1199999999953,174,0,0.0,50.3968253968254,254,250,2018-03-05,fixed N=2 (trailing)
2,2,2,7,4847.959999999934,1430.0,3417.9599999999336,692.5657142857048,1630.1599999999962,146,0,0.0,59.523809523809526,300,204,2018-04-04,fixed N=2 (trailing)
2,2,2,7,4300.839999999938,1345.0,2955.8399999999383,614.4057142857055,1149.3599999999933,133,0,0.0,57.93650793650794,292,212,2018-05-03,fixed N=2 (trailing)
2,2,2,8,5352.559999999932,1430.0,3922.559999999932,669.0699999999915,1506.9999999999927,111,0,0.0,62.8968253968254,317,187,2018-06-04,fixed N=2 (trailing)
2,2,2,10,6106.679999999913,1685.0,4421.679999999913,610.6679999999913,1630.1599999999962,83,0,0.0,72.22222222222223,364,140,2018-07-03,fixed N=2 (trailing)
2,2,2,9,4202.239999999918,1600.0,2602.239999999918,466.91555555554646,1149.3599999999933,88,0,0.0,69.64285714285714,351,153,2018-08-02,fixed N=2 (trailing)
2,2,2,10,5463.399999999914,1685.0,3778.399999999914,546.3399999999914,1261.1599999999962,67,0,0.0,73.80952380952381,372,132,2018-08-31,fixed N=2 (trailing)
2,2,2,11,7009.799999999908,1770.0,5239.799999999908,637.2545454545372,1546.3999999999942,46,0,0.0,77.97619047619048,393,111,2018-10-02,fixed N=2 (trailing)
2,2,2,9,8548.839999999924,1600.0,6948.839999999924,949.8711111111027,2546.1199999999953,326,0,0.0,70.43650793650794,355,149,2018-10-31,fixed N=2 (trailing)
3,1,1,9,8548.839999999924,1295.0,7253.839999999924,949.8711111111027,2546.1199999999953,305,0,0.0,57.34126984126984,289,215,2018-11-30,fixed N=2 (trailing)
4,1,1,9,8548.839999999924,1330.0,7218.839999999924,949.8711111111027,2546.1199999999953,284,0,0.0,57.34126984126984,289,215,2019-01-03,fixed N=2 (trailing)
4,1,1,9,8548.839999999924,1330.0,7218.839999999924,949.8711111111027,2546.1199999999953,263,0,0.0,57.34126984126984,289,215,2019-02-04,fixed N=2 (trailing)
4,2,2,9,8934.159999999923,1415.0,7519.1599999999235,992.6844444444359,2546.1199999999953,231,0,0.0,57.93650793650794,292,212,2019-03-06,fixed N=2 (trailing)
3,2,2,8,7761.039999999928,1465.0,6296.039999999928,970.129999999991,2214.7599999999948,225,0,0.0,59.523809523809526,300,204,2019-04-04,fixed N=2 (trailing)
3,2,2,8,7451.399999999929,1550.0,5901.399999999929,931.4249999999911,2214.7599999999948,204,0,0.0,63.29365079365079,319,185,2019-05-06,fixed N=2 (trailing)
3,2,2,11,10727.83999999991,1635.0,9092.83999999991,975.2581818181735,2546.1199999999953,179,1,9.090909090909092,70.23809523809524,354,150,2019-06-05,fixed N=2 (trailing)
3,2,2,11,10727.83999999991,1720.0,9007.83999999991,975.2581818181735,2546.1199999999953,158,1,9.090909090909092,74.4047619047619,375,129,2019-07-05,fixed N=2 (trailing)
4,2,2,9,9357.879999999932,1500.0,7857.879999999932,1039.7644444444368,2214.7599999999948,164,1,11.11111111111111,62.5,315,189,2019-08-05,fixed N=2 (trailing)
4,2,2,9,8771.719999999936,1415.0,7356.719999999936,974.6355555555484,2214.7599999999948,145,1,11.11111111111111,59.92063492063492,302,202,2019-09-04,fixed N=2 (trailing)
5,3,3,4,969.7599999999584,1195.0,-225.24000000004162,242.4399999999896,648.439999999995,174,0,0.0,43.25396825396825,218,286,2019-10-03,fixed N=2 (trailing)
6,3,3,4,969.7599999999584,1230.0,-260.2400000000416,242.4399999999896,648.439999999995,153,0,0.0,43.25396825396825,218,286,2019-11-01,fixed N=2 (trailing)
7,3,3,4,969.7599999999584,1265.0,-295.2400000000416,242.4399999999896,648.439999999995,132,0,0.0,43.25396825396825,218,286,2019-12-03,fixed N=2 (trailing)
7,3,3,4,969.7599999999584,1265.0,-295.2400000000416,242.4399999999896,648.439999999995,111,0,0.0,43.25396825396825,218,286,2020-01-03,fixed N=2 (trailing)
9,3,3,4,3287.1599999999744,1080.0,2207.1599999999744,821.7899999999936,2000.0,162,1,25.0,34.72222222222222,175,329,2020-02-04,fixed N=2 (trailing)
9,2,2,3,925.7599999999802,910.0,15.75999999998021,308.58666666666005,648.439999999995,138,0,0.0,26.38888888888889,133,371,2020-03-05,fixed N=2 (trailing)
10,2,2,4,3287.1599999999744,1030.0,2257.1599999999744,821.7899999999936,2000.0,120,1,25.0,32.142857142857146,162,342,2020-04-03,fixed N=2 (trailing)
10,3,3,4,3287.1599999999744,1115.0,2172.1599999999744,821.7899999999936,2000.0,99,1,25.0,33.92857142857143,171,333,2020-05-05,fixed N=2 (trailing)
11,4,4,4,3287.1599999999744,1235.0,2052.1599999999744,821.7899999999936,2000.0,78,1,25.0,36.507936507936506,184,320,2020-06-04,fixed N=2 (trailing)
10,4,4,1,648.439999999995,1115.0,-466.56000000000495,648.439999999995,648.439999999995,222,0,0.0,30.158730158730158,152,352,2020-07-06,fixed N=2 (trailing)
11,4,4,1,648.439999999995,1235.0,-586.560000000005,648.439999999995,648.439999999995,201,0,0.0,33.53174603174603,169,335,2020-08-04,fixed N=2 (trailing)
11,4,4,1,648.439999999995,1150.0,-501.56000000000495,648.439999999995,648.439999999995,180,0,0.0,31.547619047619047,159,345,2020-09-02,fixed N=2 (trailing)
12,4,4,1,648.439999999995,1100.0,-451.56000000000495,648.439999999995,648.439999999995,159,0,0.0,26.984126984126984,136,368,2020-10-02,fixed N=2 (trailing)
11,4,4,1,151.15999999999622,1065.0,-913.8400000000038,151.15999999999622,151.15999999999622,138,0,0.0,26.19047619047619,132,372,2020-11-02,fixed N=2 (trailing)
10,5,5,2,1853.1999999999898,1200.0,653.1999999999898,926.5999999999949,1726.479999999996,113,0,0.0,30.357142857142858,153,351,2020-12-02,fixed N=2 (trailing)
10,5,5,3,2281.2399999999834,1285.0,996.2399999999834,760.4133333333278,1726.479999999996,92,0,0.0,34.72222222222222,175,329,2021-01-04,fixed N=2 (trailing)
9,5,5,4,1132.8799999999756,1420.0,-287.12000000002445,283.2199999999939,431.75999999999476,74,0,0.0,44.04761904761905,222,282,2021-02-03,fixed N=2 (trailing)
10,5,5,3,834.1999999999825,1370.0,-535.8000000000175,278.06666666666086,406.43999999999505,453,0,0.0,39.48412698412698,199,305,2021-03-05,fixed N=2 (trailing)
11,5,5,3,834.1999999999825,1405.0,-570.8000000000175,278.06666666666086,406.43999999999505,432,0,0.0,40.27777777777778,203,301,2021-04-06,fixed N=2 (trailing)
11,4,4,3,834.1999999999825,1150.0,-315.80000000001746,278.06666666666086,406.43999999999505,411,0,0.0,29.761904761904763,150,354,2021-05-05,fixed N=2 (trailing)
12,4,4,3,834.1999999999825,1185.0,-350.80000000001746,278.06666666666086,406.43999999999505,390,0,0.0,29.761904761904763,150,354,2021-06-04,fixed N=2 (trailing)
12,4,4,3,834.1999999999825,1185.0,-350.80000000001746,278.06666666666086,406.43999999999505,369,0,0.0,29.761904761904763,150,354,2021-07-06,fixed N=2 (trailing)
13,4,4,3,834.1999999999825,1220.0,-385.80000000001746,278.06666666666086,406.43999999999505,348,0,0.0,29.761904761904763,150,354,2021-08-04,fixed N=2 (trailing)
13,5,5,3,834.1999999999825,1305.0,-470.80000000001746,278.06666666666086,406.43999999999505,327,0,0.0,31.150793650793652,157,347,2021-09-02,fixed N=2 (trailing)
12,5,5,3,834.1999999999825,1355.0,-520.8000000000175,278.06666666666086,406.43999999999505,306,0,0.0,35.317460317460316,178,326,2021-10-04,fixed N=2 (trailing)
11,5,5,3,834.1999999999825,1405.0,-570.8000000000175,278.06666666666086,406.43999999999505,285,0,0.0,39.48412698412698,199,305,2021-11-02,fixed N=2 (trailing)
10,5,5,3,834.1999999999825,1455.0,-620.8000000000175,278.06666666666086,406.43999999999505,264,0,0.0,43.65079365079365,220,284,2021-12-02,fixed N=2 (trailing)
10,5,5,4,932.1999999999607,1540.0,-607.8000000000393,233.04999999999018,406.43999999999505,243,0,0.0,47.817460317460316,241,263,2022-01-03,fixed N=2 (trailing)
10,5,5,5,2371.279999999955,1625.0,746.2799999999552,474.25599999999105,1439.0799999999945,222,0,0.0,52.182539682539684,263,241,2022-02-02,fixed N=2 (trailing)
11,5,5,5,2371.279999999955,1575.0,796.2799999999552,474.25599999999105,1439.0799999999945,201,0,0.0,50.3968253968254,254,250,2022-03-04,fixed N=2 (trailing)
11,5,5,5,2371.279999999955,1575.0,796.2799999999552,474.25599999999105,1439.0799999999945,180,0,0.0,48.214285714285715,243,261,2022-04-04,fixed N=2 (trailing)
12,5,5,5,2371.279999999955,1610.0,761.2799999999552,474.25599999999105,1439.0799999999945,159,0,0.0,49.801587301587304,251,253,2022-05-04,fixed N=2 (trailing)
11,4,4,6,2986.8399999999456,1405.0,1581.8399999999456,497.8066666666576,1439.0799999999945,138,0,0.0,45.03968253968254,227,277,2022-06-03,fixed N=2 (trailing)
11,4,4,7,3033.879999999939,1490.0,1543.8799999999392,433.4114285714199,1439.0799999999945,117,0,0.0,49.20634920634921,248,256,2022-07-06,fixed N=2 (trailing)
10,3,3,8,5033.879999999939,1455.0,3578.879999999939,629.2349999999924,2000.0,96,1,12.5,51.19047619047619,258,246,2022-08-04,fixed N=2 (trailing)
10,3,3,9,5450.959999999926,1540.0,3910.9599999999264,605.662222222214,2000.0,75,1,11.11111111111111,55.357142857142854,279,225,2022-09-02,fixed N=2 (trailing)
