evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,pct_time_funded,days_funded,days_in_eval,config,firm,policy,fees,eval_pass_rate
37,15,15,32,29576.799999999756,6905.0,22671.799999999756,924.2749999999924,2546.1199999999953,1559,35.84584868234627,1265,2264,fixed N=2 (trailing),apex_50k,immediate,promo,53.14637482900137
37,15,15,32,29576.799999999756,11789.0,17787.799999999756,924.2749999999924,2546.1199999999953,1559,35.84584868234627,1265,2264,fixed N=2 (trailing),apex_50k,immediate,list,53.14637482900137
31,13,13,42,30710.890032100404,7205.0,23505.890032100404,731.211667430962,2000.0,1559,39.841314820062344,1406,2123,fixed N=2 (trailing),apex_50k,half_buffer,promo,53.14637482900137
31,13,13,42,30710.890032100404,11297.0,19413.890032100404,731.211667430962,2000.0,1559,39.841314820062344,1406,2123,fixed N=2 (trailing),apex_50k,half_buffer,list,53.14637482900137
36,16,16,12,24000.0,6955.0,17045.0,2000.0,2000.0,1569,34.797393029186736,1228,2301,fixed N=2 (trailing),apex_50k,accumulate,promo,53.14637482900137
36,16,16,12,24000.0,11707.0,12293.0,2000.0,2000.0,1569,34.797393029186736,1228,2301,fixed N=2 (trailing),apex_50k,accumulate,list,53.14637482900137
63,21,21,34,40296.239999999845,5243.0,35053.239999999845,1185.1835294117602,3802.239999999998,909,20.37404363842448,719,2810,fixed N=2 (trailing),topstep_50k,immediate,promo,44.090610636900855
63,21,21,34,40296.239999999845,17655.0,22641.239999999845,1185.1835294117602,3802.239999999998,909,20.37404363842448,719,2810,fixed N=2 (trailing),topstep_50k,immediate,list,44.090610636900855
56,20,20,42,35404.47156249981,5929.0,29475.471562499813,842.963608630948,2248.6937499999985,909,32.98384811561349,1164,2365,fixed N=2 (trailing),topstep_50k,half_buffer,promo,44.090610636900855
56,20,20,42,35404.47156249981,19965.0,15439.471562499813,842.963608630948,2248.6937499999985,909,32.98384811561349,1164,2365,fixed N=2 (trailing),topstep_50k,half_buffer,list,44.090610636900855
