trades,skipped,net_pnl,fees,gross_pnl,total_return_pct,ann_return_pct,years,win_rate_pct,avg_win,avg_loss,payoff,profit_factor,expectancy,max_dd,max_dd_pct,sharpe,sortino,mar,avg_contracts,avg_stop_pts,avg_risk_dollars,avg_bars_held,long_pnl,short_pnl,long_n,short_n,exit_stop,variant,param,slippage_ticks,exit_time,exit_session_end
3529,0,-288.26000000000204,45846.76000000001,45558.50000000001,-0.576520000000004,-0.03553390651366883,16.22450376454483,38.36780957778407,224.5890694239291,-139.94568275862068,1.6048302812692117,0.9990529659027644,-0.08168319637291074,-13599.859999999768,-27.199719999999534,-0.004372781582288608,-0.00985456669283617,0.001306407070134157,9.695097761405497,11.474922074241995,205.41088126948145,2.89288750354208,4620.339999999993,-4908.599999999999,1815,1714,3529,atr,1.0,0,,
3529,0,60177.14,28145.360000000008,88322.5,120.35428,7.418056154235573,16.22450376454483,40.40804760555398,399.4326928471248,-242.23199239182122,1.6489675410051714,1.1181301538152042,17.052179087560216,-10203.160000000076,-20.406320000000154,0.6575617466068188,2.1505976882310907,0.36351758446576926,5.951827713233211,52.817228676678944,413.0466137716067,138.21252479455936,34784.92,25392.219999999987,1815,1714,2787,pct,0.005,0,722.0,20.0
3529,0,40619.640000000014,4728.860000000001,45348.500000000015,81.23928000000002,5.007196594667568,16.22450376454483,50.750920940776425,150.8635175879397,-132.0925891829689,1.142104326374965,1.1769325940952602,11.510240861433838,-5678.8000000000175,-11.357600000000035,0.8289957931038323,1.3114236555139716,0.4408674891409763,1.0,250.0,500.0,337.3950127514877,24152.9,16466.739999999998,1815,1714,376,fixed,1.0,0,3118.0,35.0
3520,9,76071.23999999999,31341.26000000001,107412.5,152.14247999999998,9.377327171785351,16.22450376454483,37.47159090909091,397.4827748294162,-203.63859154929577,1.9519029856047478,1.169722870519156,21.611147727272726,-11557.039999999935,-23.11407999999987,0.8503633160135007,2.7673691639069773,0.40569761685454947,6.644602272727273,45.21413352272727,348.55752840909093,61.502272727272725,64276.58,11794.66,1813,1707,3359,atr,4.0,0,156.0,5.0
3529,0,-33687.76,45846.76000000001,12159.000000000007,-67.37552,-4.152701430982113,16.22450376454483,34.51402663644092,239.0434646962233,-140.5636953699697,1.7006060068857083,0.8962951607039346,-9.545979030886937,-34078.76000000278,-68.15752000000556,-0.5117769238403361,-1.1571526875526659,0.06092800076912678,9.695097761405497,11.474922074241995,205.41088126948145,2.8603003683763104,-13177.660000000003,-20510.1,1815,1714,3529,atr,1.0,1,,
3529,0,39270.13999999999,28145.360000000008,67415.5,78.54027999999998,4.840843278771515,16.22450376454483,39.926324737886084,398.2257771469127,-246.14621698113206,1.6178423622794824,1.0752546643640521,11.127837914423347,-14189.599999999708,-28.379199999999415,0.4290624587361762,1.389750935801364,0.1705771578751908,5.951827713233211,52.817228676678944,413.0466137716067,138.20742419948994,23922.920000000002,15347.219999999987,1815,1714,2787,pct,0.005,1,722.0,20.0
3529,0,37091.640000000014,4728.860000000001,41820.500000000015,74.18328000000002,4.572298855889303,16.22450376454483,50.070841598186455,151.90731182795702,-131.28750283768446,1.1570584293599184,1.1603417960720634,10.510524227826584,-5862.480000000025,-11.724960000000051,0.7569960118533504,1.1984173860315905,0.38996285325402247,1.0,250.0,500.0,337.3950127514877,22337.9,14753.740000000002,1815,1714,376,fixed,1.0,1,3118.0,35.0
3520,9,52169.24,31341.26000000001,83510.5,104.33848,6.43091964562943,16.22450376454483,36.73295454545455,398.6279505027069,-208.0182757072295,1.91631215645565,1.1126141079017313,14.820806818181818,-19521.899999999907,-39.04379999999981,0.5831004822449888,1.8966584699316182,0.16471039308749305,6.644602272727273,45.21413352272727,348.55752840909093,61.454829545454544,51778.07999999999,391.15999999999985,1813,1707,3359,atr,4.0,1,156.0,5.0
3529,0,-67686.76,45846.76000000001,-21839.999999999985,-135.37351999999998,-8.34376952075599,16.22450376454483,31.510342873335222,250.7678237410072,-143.3763260239967,1.7490183400224422,0.8046786901551327,-19.18015301785208,-67975.20000000327,-135.95040000000654,-1.0303240052560998,-2.3421930750609063,0.06137362979995342,9.695097761405497,11.474922074241995,205.41088126948145,2.824596202890337,-30976.16,-36710.59999999999,1815,1714,3529,atr,1.0,2,,
3529,0,18449.64,28145.360000000008,46595.00000000001,36.89928,2.2742932872089097,16.22450376454483,39.04788892037404,401.15840348330914,-248.41777777777773,1.6148538444867888,1.034527474524777,5.228007934258997,-24254.600000000108,-48.50920000000021,0.2015560380917451,0.640912722302849,0.046883751684400066,5.951827713233211,52.817228676678944,413.0466137716067,138.19977330688582,13088.920000000002,5360.719999999996,1815,1714,2787,pct,0.005,2,722.0,20.0
3529,0,33563.640000000014,4728.860000000001,38292.500000000015,67.12728000000003,4.137401117111038,16.22450376454483,49.44743553414565,152.8170200573066,-130.66258968609864,1.1695545023593312,1.143986887117171,9.51080759421933,-6059.480000000032,-12.118960000000065,0.6849957979363934,1.0852171491548357,0.3413990241003366,1.0,250.0,500.0,337.3950127514877,20522.900000000005,13040.740000000002,1815,1714,376,fixed,1.0,2,3118.0,35.0
3520,9,27465.239999999998,31341.26000000001,58806.50000000001,54.93048,3.3856493115086064,16.22450376454483,35.625,404.13264752791065,-211.5256398940865,1.9105610446575878,1.057300772286238,7.802624999999999,-32546.680000001154,-65.0933600000023,0.3068530521518797,0.9925105098828882,0.052012206951807166,6.644602272727273,45.21413352272727,348.55752840909093,61.27642045454545,38926.079999999994,-11460.840000000004,1813,1707,3359,atr,4.0,2,156.0,5.0
