evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,capped_payouts,capped_pct,pct_time_funded,days_funded,days_in_eval,strategy,firm,firm_label,tier,policy,eval_pass_rate,eval_days_to_pass,eval_days_to_bust,strategy_pnl,avg_contracts,funded_med_net,funded_mean_net,funded_med_payouts,funded_survive_pct,max_micros,split
131,33,33,48,71176.1200000013,13000.0,58176.120000001305,1482.8358333333606,10780.440000000097,850,10,20.833333333333332,49.02238594502692,1730,1799,pct 0.5% 固定止损,apex,Apex,50k,immediate,33.575581395348834,16.0,12.0,56006.58,7.144516860300368,0.0,1247.7355862069094,0.0,0.0,100,1.0
119,29,29,59,73437.05277832158,12920.0,60517.05277832158,1244.6958098020602,5785.275000000078,850,3,5.084745762711864,52.42278265797676,1850,1679,pct 0.5% 固定止损,apex,Apex,50k,half_buffer,33.575581395348834,16.0,12.0,56006.58,7.144516860300368,0.0,1247.7355862069094,0.0,0.0,100,1.0
133,32,32,32,75273.40000000002,12815.0,62458.40000000002,2352.2937500000016,9543.279999999948,867,26,81.25,47.09549447435534,1662,1867,pct 0.5% 固定止损,apex,Apex,50k,accumulate,33.575581395348834,16.0,12.0,56006.58,7.144516860300368,0.0,1247.7355862069094,0.0,0.0,100,1.0
96,21,21,25,33145.640000001935,8460.0,24685.640000001935,1325.8256000000774,10780.440000000468,1801,0,0.0,29.696797959761973,1048,2481,pct 0.5% 固定止损,apex,Apex,100k,immediate,25.401459854014597,44.0,19.0,56006.58,7.144516860300368,0.0,1333.634758620697,0.0,0.0,140,1.0
91,19,19,31,42328.61797119276,8625.0,33703.61797119276,1365.439289393315,5610.037500000297,1801,2,6.451612903225806,33.01218475488807,1165,2364,pct 0.5% 固定止损,apex,Apex,100k,half_buffer,25.401459854014597,44.0,19.0,56006.58,7.144516860300368,0.0,1333.634758620697,0.0,0.0,140,1.0
94,20,20,17,41865.74000000159,8475.0,33390.74000000159,2462.6905882353876,9267.160000001139,2208,11,64.70588235294117,30.915273448569,1091,2438,pct 0.5% 固定止损,apex,Apex,100k,accumulate,25.401459854014597,44.0,19.0,56006.58,7.144516860300368,0.0,1333.634758620697,0.0,0.0,140,1.0
45,13,13,16,15854.819999999803,5825.0,10029.819999999803,990.9262499999877,3386.039999999921,907,3,18.75,25.843015018418814,912,2617,pct 0.5% 固定止损,apex,Apex,150k,immediate,31.117824773413897,89.0,42.5,56006.58,7.144516860300368,143.2000000004191,2158.769931034577,1.0,0.0,170,1.0
43,13,13,19,11636.585000000749,6095.0,5541.585000000749,612.4518421053026,2142.6299999998446,907,1,5.2631578947368425,28.931708699348256,1021,2508,pct 0.5% 固定止损,apex,Apex,150k,half_buffer,31.117824773413897,89.0,42.5,56006.58,7.144516860300368,143.2000000004191,2158.769931034577,1.0,0.0,170,1.0
46,13,13,7,14000.0,5605.0,8395.0,2000.0,2000.0,915,7,100.0,24.19948994049306,854,2675,pct 0.5% 固定止损,apex,Apex,150k,accumulate,31.117824773413897,89.0,42.5,56006.58,7.144516860300368,143.2000000004191,2158.769931034577,1.0,0.0,170,1.0
100,10,10,8,8157.582000000109,5488.0,2669.5820000001086,1019.6977500000137,1800.0,1351,2,25.0,4.6755454803060355,165,3364,pct 0.5% 固定止损,topstep,TopStep,50k,immediate,13.106796116504855,18.0,12.0,56006.58,7.144516860300368,55.07999999998429,1063.2514344827616,1.0,0.0,50,0.9
