evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,capped_payouts,capped_pct,pct_time_funded,days_funded,days_in_eval,start_date,strategy,policy,firm,tier
20,1,1,1,2766.8880000001373,1029.0,1737.8880000001373,2766.8880000001373,2766.8880000001373,882.0,0,0.0,1.1904761904761905,15,1245,2010-06-07,pct 0.5% 固定止损,immediate,topstep,150k
17,1,1,1,2766.8880000001373,882.0,1884.8880000001373,2766.8880000001373,2766.8880000001373,840.0,0,0.0,1.1904761904761905,15,1245,2011-03-15,pct 0.5% 固定止损,immediate,topstep,150k
17,1,1,1,2766.8880000001373,882.0,1884.8880000001373,2766.8880000001373,2766.8880000001373,798.0,0,0.0,1.1904761904761905,15,1245,2011-09-26,pct 0.5% 固定止损,immediate,topstep,150k
17,1,1,1,2766.8880000001373,882.0,1884.8880000001373,2766.8880000001373,2766.8880000001373,756.0,0,0.0,1.1904761904761905,15,1245,2012-07-05,pct 0.5% 固定止损,immediate,topstep,150k
15,1,1,1,2766.8880000001373,784.0,1982.8880000001373,2766.8880000001373,2766.8880000001373,714.0,0,0.0,1.1904761904761905,15,1245,2012-10-16,pct 0.5% 固定止损,immediate,topstep,150k
15,1,1,1,2766.8880000001373,784.0,1982.8880000001373,2766.8880000001373,2766.8880000001373,672.0,0,0.0,1.1904761904761905,15,1245,2013-01-11,pct 0.5% 固定止损,immediate,topstep,150k
14,2,2,1,2766.8880000001373,784.0,1982.8880000001373,2766.8880000001373,2766.8880000001373,630.0,0,0.0,2.380952380952381,30,1230,2013-04-11,pct 0.5% 固定止损,immediate,topstep,150k
13,2,2,4,5986.259999999786,833.0,5153.259999999786,1496.5649999999464,2766.8880000001373,588.0,0,0.0,5.714285714285714,72,1188,2013-06-11,pct 0.5% 固定止损,immediate,topstep,150k
13,2,2,5,10486.259999999786,882.0,9604.259999999786,2097.251999999957,4500.0,546.0,1,20.0,6.349206349206349,80,1180,2013-08-12,pct 0.5% 固定止损,immediate,topstep,150k
14,2,2,5,10486.259999999786,931.0,9555.259999999786,2097.251999999957,4500.0,504.0,1,20.0,6.349206349206349,80,1180,2013-10-10,pct 0.5% 固定止损,immediate,topstep,150k
14,2,2,5,10486.259999999786,931.0,9555.259999999786,2097.251999999957,4500.0,462.0,1,20.0,6.349206349206349,80,1180,2014-01-09,pct 0.5% 固定止损,immediate,topstep,150k
15,2,2,5,10486.259999999786,980.0,9506.259999999786,2097.251999999957,4500.0,420.0,1,20.0,6.349206349206349,80,1180,2014-04-03,pct 0.5% 固定止损,immediate,topstep,150k
14,2,2,5,10486.259999999786,931.0,9555.259999999786,2097.251999999957,4500.0,378.0,1,20.0,6.349206349206349,80,1180,2014-06-06,pct 0.5% 固定止损,immediate,topstep,150k
14,3,3,5,10486.259999999786,980.0,9506.259999999786,2097.251999999957,4500.0,336.0,1,20.0,6.746031746031746,85,1175,2014-08-08,pct 0.5% 固定止损,immediate,topstep,150k
14,3,3,5,10486.259999999786,1078.0,9408.259999999786,2097.251999999957,4500.0,294.0,1,20.0,9.841269841269842,124,1136,2014-10-14,pct 0.5% 固定止损,immediate,topstep,150k
13,3,3,5,10486.259999999786,1029.0,9457.259999999786,2097.251999999957,4500.0,252.0,1,20.0,9.841269841269842,124,1136,2015-01-14,pct 0.5% 固定止损,immediate,topstep,150k
14,4,4,5,10486.259999999786,1127.0,9359.259999999786,2097.251999999957,4500.0,210.0,1,20.0,10.555555555555555,133,1127,2015-04-07,pct 0.5% 固定止损,immediate,topstep,150k
13,5,5,14,15142.895999999768,1519.0,13623.895999999768,1081.635428571412,3888.6479999998965,174.0,0,0.0,24.523809523809526,309,951,2015-06-05,pct 0.5% 固定止损,immediate,topstep,150k
13,5,5,14,15142.895999999768,1519.0,13623.895999999768,1081.635428571412,3888.6479999998965,132.0,0,0.0,24.523809523809526,309,951,2015-08-06,pct 0.5% 固定止损,immediate,topstep,150k
10,6,6,15,13263.912000000177,1568.0,11695.912000000177,884.2608000000117,3888.6479999998965,111.0,0,0.0,29.523809523809526,372,888,2015-10-07,pct 0.5% 固定止损,immediate,topstep,150k
12,6,6,14,11913.425999999856,1568.0,10345.425999999856,850.9589999999897,3888.6479999998965,83.0,0,0.0,26.825396825396826,338,922,2015-12-17,pct 0.5% 固定止损,immediate,topstep,150k
12,5,5,11,10664.33399999951,1421.0,9243.33399999951,969.4849090908646,3888.6479999998965,390.0,0,0.0,22.53968253968254,284,976,2016-02-19,pct 0.5% 固定止损,immediate,topstep,150k
13,5,5,11,10664.33399999951,1470.0,9194.33399999951,969.4849090908646,3888.6479999998965,348.0,0,0.0,22.53968253968254,284,976,2016-04-20,pct 0.5% 固定止损,immediate,topstep,150k
12,6,6,11,10664.33399999951,1470.0,9194.33399999951,969.4849090908646,3888.6479999998965,306.0,0,0.0,23.96825396825397,302,958,2016-06-20,pct 0.5% 固定止损,immediate,topstep,150k
12,5,5,5,8693.963999999862,1225.0,7468.963999999862,1738.7927999999724,4500.0,507.0,1,20.0,16.666666666666668,210,1050,2016-08-18,pct 0.5% 固定止损,immediate,topstep,150k
12,6,6,9,9321.983999999537,1519.0,7802.9839999995365,1035.7759999999485,3888.6479999998965,246.0,0,0.0,26.03174603174603,328,932,2016-10-18,pct 0.5% 固定止损,immediate,topstep,150k
14,6,6,5,6320.519999999832,1519.0,4801.519999999832,1264.1039999999664,1518.9299999999057,320.0,0,0.0,22.77777777777778,287,973,2016-12-16,pct 0.5% 固定止损,immediate,topstep,150k
15,5,5,3,4907.736000000007,1323.0,3584.736000000007,1635.9120000000023,3888.6479999998965,412.0,0,0.0,16.03174603174603,202,1058,2017-02-17,pct 0.5% 固定止损,immediate,topstep,150k
15,7,7,5,8693.963999999862,1568.0,7125.963999999862,1738.7927999999724,4500.0,339.0,1,20.0,21.50793650793651,271,989,2017-04-20,pct 0.5% 固定止损,immediate,topstep,150k
15,7,7,7,11416.96799999965,1617.0,9799.96799999965,1630.9954285713786,4500.0,279.0,1,14.285714285714286,26.19047619047619,330,930,2017-06-20,pct 0.5% 固定止损,immediate,topstep,150k
16,7,7,8,11802.240000000424,1666.0,10136.240000000424,1475.280000000053,4500.0,255.0,1,12.5,24.682539682539684,311,949,2017-08-18,pct 0.5% 固定止损,immediate,topstep,150k
16,7,7,11,16557.102000001047,1764.0,14793.102000001047,1505.191090909186,4500.0,213.0,1,9.090909090909092,28.015873015873016,353,907,2017-10-18,pct 0.5% 固定止损,immediate,topstep,150k
17,7,7,11,16557.102000001047,1813.0,14744.102000001047,1505.191090909186,4500.0,171.0,1,9.090909090909092,28.095238095238095,354,906,2017-12-18,pct 0.5% 固定止损,immediate,topstep,150k
17,7,7,9,13607.658000001147,1715.0,11892.658000001147,1511.9620000001275,3888.6479999998965,160.0,0,0.0,26.03174603174603,328,932,2018-02-20,pct 0.5% 固定止损,immediate,topstep,150k
19,7,7,8,10356.660000001304,1813.0,8543.660000001304,1294.5825000001632,2432.1780000001163,139.0,0,0.0,25.873015873015873,326,934,2018-04-20,pct 0.5% 固定止损,immediate,topstep,150k
20,7,7,8,10356.660000001304,1862.0,8494.660000001304,1294.5825000001632,2432.1780000001163,97.0,0,0.0,25.873015873015873,326,934,2018-06-20,pct 0.5% 固定止损,immediate,topstep,150k
