evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,capped_payouts,capped_pct,pct_time_funded,days_funded,days_in_eval,config,tier,risk_basis,path,risk_dollars,losses_to_bust,max_micros,avg_contracts,strategy_pnl,eval_pass_rate
100,10,10,8,8157.582000000109,5488.0,2669.5820000001086,1019.6977500000137,1800.0,1351.0,2,25.0,4.6755454803060355,165,3364,pct 0.5% (fixed stop),50k,fixed_dollar,standard,500.0,4.0,50,7.144516860300368,56006.58,13.309700290041896
99,9,9,9,10259.892000000167,5341.0,4918.892000000167,1139.9880000000187,2700.0,1351.0,1,11.11111111111111,4.023802776990649,142,3387,pct 0.5% (fixed stop),50k,fixed_dollar,consistency,500.0,4.0,50,7.144516860300368,56006.58,13.309700290041896
100,10,10,8,8157.582000000109,5488.0,2669.5820000001086,1019.6977500000137,1800.0,1351.0,2,25.0,4.6755454803060355,165,3364,pct 0.5% (fixed stop),50k,pct_balance,standard,500.0,4.0,50,7.144516860300368,56006.58,13.309700290041896
99,9,9,9,10259.892000000167,5341.0,4918.892000000167,1139.9880000000187,2700.0,1351.0,1,11.11111111111111,4.023802776990649,142,3387,pct 0.5% (fixed stop),50k,pct_balance,consistency,500.0,4.0,50,7.144516860300368,56006.58,13.309700290041896
100,10,10,8,8157.582000000109,5488.0,2669.5820000001086,1019.6977500000137,1800.0,1351.0,2,25.0,4.6755454803060355,165,3364,pct 0.5% (fixed stop),50k,pct_mll,standard,500.0,4.0,50,7.144516860300368,56006.58,13.309700290041896
99,9,9,9,10259.892000000167,5341.0,4918.892000000167,1139.9880000000187,2700.0,1351.0,1,11.11111111111111,4.023802776990649,142,3387,pct 0.5% (fixed stop),50k,pct_mll,consistency,500.0,4.0,50,7.144516860300368,56006.58,13.309700290041896
73,13,13,21,22452.444000000643,4802.0,17650.444000000643,1069.1640000000307,2700.0,867.0,2,9.523809523809524,10.739586285066592,379,3150,pct 0.5% (fixed stop),100k,fixed_dollar,standard,500.0,6.0,100,7.144516860300368,56006.58,27.630375114364135
74,12,12,21,25515.936000000413,4753.0,20762.936000000413,1215.044571428591,3432.780000000063,869.0,0,0.0,9.379427599886654,331,3198,pct 0.5% (fixed stop),100k,fixed_dollar,consistency,500.0,6.0,100,7.144516860300368,56006.58,27.630375114364135
142,12,12,17,39064.06799999976,7840.0,31224.06799999976,2297.886352941162,2700.0,1351.0,12,70.58823529411765,6.602436950977614,233,3296,pct 0.5% (fixed stop),100k,pct_balance,standard,1000.0,3.0,100,14.767639557948428,134442.39999999997,9.889773423147581
122,8,8,8,24803.261999999864,6419.0,18384.261999999864,3100.407749999983,5400.0,1351.0,1,12.5,2.8053272881836215,99,3430,pct 0.5% (fixed stop),100k,pct_balance,consistency,1000.0,3.0,100,14.767639557948428,134442.39999999997,9.889773423147581
101,11,11,7,15004.04399999999,5586.0,9418.04399999999,2143.434857142856,2700.0,463.0,4,57.142857142857146,4.250495891187305,150,3379,pct 0.5% (fixed stop),100k,pct_mll,standard,750.0,4.0,100,10.954661377160669,95686.44000000003,16.692049954310082
104,11,11,6,17959.121999999974,5684.0,12275.121999999974,2993.186999999996,4923.540000000018,463.0,0,0.0,3.4570699914990084,122,3407,pct 0.5% (fixed stop),100k,pct_mll,consistency,750.0,4.0,100,10.954661377160669,95686.44000000003,16.692049954310082
44,11,11,29,43396.218000002715,3871.0,39525.218000002715,1496.4213103449213,4500.0,882.0,3,10.344827586206897,17.767072825162934,627,2902,pct 0.5% (fixed stop),150k,fixed_dollar,standard,500.0,9.0,150,7.144516860300368,56006.58,30.909653465346533
45,11,11,19,23412.33000000158,3479.0,19933.33000000158,1232.2278947369255,3921.4980000002106,882.0,0,0.0,13.063190705582318,461,3068,pct 0.5% (fixed stop),150k,fixed_dollar,consistency,500.0,9.0,150,7.144516860300368,56006.58,30.909653465346533
140,9,9,14,54157.608000000204,7595.0,46562.608000000204,3868.400571428586,4500.0,1351.0,11,78.57142857142857,6.177387361858884,218,3311,pct 0.5% (fixed stop),150k,pct_balance,standard,1500.0,3.0,150,22.42419948994049,209019.6000000001,8.797293140572132
122,8,8,8,29994.08399999993,6468.0,23526.08399999993,3749.260499999991,5400.0,1351.0,4,50.0,3.48540663077359,123,3406,pct 0.5% (fixed stop),150k,pct_balance,consistency,1500.0,3.0,150,22.42419948994049,209019.6000000001,8.797293140572132
113,15,15,7,19876.76999999996,6419.0,13457.76999999996,2839.538571428566,4500.0,463.0,2,28.571428571428573,5.695664494190989,201,3328,pct 0.5% (fixed stop),150k,pct_mll,standard,1125.0,4.0,150,16.70246528761689,158770.37999999995,16.539750228449588
113,15,15,8,24086.39400000016,6370.0,17716.39400000016,3010.79925000002,5400.0,461.0,3,37.5,5.29895154434684,187,3342,pct 0.5% (fixed stop),150k,pct_mll,consistency,1125.0,4.0,150,16.70246528761689,158770.37999999995,16.539750228449588
45,10,10,24,18926.135999999904,3577.0,15349.135999999904,788.5889999999963,1800.0,881.0,3,12.5,14.281666194389345,504,3025,fixed N=2 (trailing),50k,fixed_dollar,standard,500.0,4.0,50,2.0,52562.279999999984,36.840253342716395
43,10,10,30,18370.727999999905,3479.0,14891.727999999905,612.3575999999969,2066.003999999998,874.0,0,0.0,14.593369226409747,515,3014,fixed N=2 (trailing),50k,fixed_dollar,consistency,500.0,4.0,50,2.0,52562.279999999984,36.840253342716395
45,10,10,24,18926.135999999904,3577.0,15349.135999999904,788.5889999999963,1800.0,881.0,3,12.5,14.281666194389345,504,3025,fixed N=2 (trailing),50k,pct_balance,standard,500.0,4.0,50,2.0,52562.279999999984,36.840253342716395
43,10,10,30,18370.727999999905,3479.0,14891.727999999905,612.3575999999969,2066.003999999998,874.0,0,0.0,14.593369226409747,515,3014,fixed N=2 (trailing),50k,pct_balance,consistency,500.0,4.0,50,2.0,52562.279999999984,36.840253342716395
45,10,10,24,18926.135999999904,3577.0,15349.135999999904,788.5889999999963,1800.0,881.0,3,12.5,14.281666194389345,504,3025,fixed N=2 (trailing),50k,pct_mll,standard,500.0,4.0,50,2.0,52562.279999999984,36.840253342716395
43,10,10,30,18370.727999999905,3479.0,14891.727999999905,612.3575999999969,2066.003999999998,874.0,0,0.0,14.593369226409747,515,3014,fixed N=2 (trailing),50k,pct_mll,consistency,500.0,4.0,50,2.0,52562.279999999984,36.840253342716395
31,10,10,22,15638.616000002085,2646.0,12992.616000002085,710.8461818182767,2122.3080000001005,1572.0,0,0.0,12.12808160952111,428,3101,fixed N=2 (trailing),100k,fixed_dollar,standard,500.0,6.0,100,2.0,52562.279999999984,42.88107202680067
31,10,10,24,13792.752000001754,2891.0,10901.752000001754,574.6980000000731,2303.244000000082,1569.0,0,0.0,13.856616605270615,489,3040,fixed N=2 (trailing),100k,fixed_dollar,consistency,500.0,6.0,100,2.0,52562.279999999984,42.88107202680067
