accounts,payouts,withdrawn_gross,withdrawn,fees_paid,net_to_trader,capped_payouts,config,tier,risk_basis,path
1,8,9063.98000000012,8157.582000000109,5488.0,2669.5820000001086,2,pct 0.5% (fixed stop),50k,fixed_dollar,standard
2,16,18127.96000000024,16315.164000000217,10976.0,5339.164000000217,4,pct 0.5% (fixed stop),50k,fixed_dollar,standard
3,24,27191.94000000036,24472.746000000327,16464.0,8008.746000000327,6,pct 0.5% (fixed stop),50k,fixed_dollar,standard
5,40,45319.9000000006,40787.91000000054,27440.0,13347.910000000542,10,pct 0.5% (fixed stop),50k,fixed_dollar,standard
10,80,90639.8000000012,81575.82000000108,54880.0,26695.820000001084,20,pct 0.5% (fixed stop),50k,fixed_dollar,standard
1,9,11399.880000000187,10259.892000000167,5341.0,4918.892000000167,1,pct 0.5% (fixed stop),50k,fixed_dollar,consistency
2,18,22799.760000000373,20519.784000000334,10682.0,9837.784000000334,2,pct 0.5% (fixed stop),50k,fixed_dollar,consistency
3,27,34199.64000000056,30779.6760000005,16023.0,14756.676000000502,3,pct 0.5% (fixed stop),50k,fixed_dollar,consistency
5,45,56999.40000000093,51299.460000000836,26705.0,24594.460000000836,5,pct 0.5% (fixed stop),50k,fixed_dollar,consistency
10,90,113998.80000000187,102598.92000000167,53410.0,49188.92000000167,10,pct 0.5% (fixed stop),50k,fixed_dollar,consistency
1,8,9063.98000000012,8157.582000000109,5488.0,2669.5820000001086,2,pct 0.5% (fixed stop),50k,pct_balance,standard
2,16,18127.96000000024,16315.164000000217,10976.0,5339.164000000217,4,pct 0.5% (fixed stop),50k,pct_balance,standard
3,24,27191.94000000036,24472.746000000327,16464.0,8008.746000000327,6,pct 0.5% (fixed stop),50k,pct_balance,standard
5,40,45319.9000000006,40787.91000000054,27440.0,13347.910000000542,10,pct 0.5% (fixed stop),50k,pct_balance,standard
10,80,90639.8000000012,81575.82000000108,54880.0,26695.820000001084,20,pct 0.5% (fixed stop),50k,pct_balance,standard
1,9,11399.880000000187,10259.892000000167,5341.0,4918.892000000167,1,pct 0.5% (fixed stop),50k,pct_balance,consistency
2,18,22799.760000000373,20519.784000000334,10682.0,9837.784000000334,2,pct 0.5% (fixed stop),50k,pct_balance,consistency
3,27,34199.64000000056,30779.6760000005,16023.0,14756.676000000502,3,pct 0.5% (fixed stop),50k,pct_balance,consistency
5,45,56999.40000000093,51299.460000000836,26705.0,24594.460000000836,5,pct 0.5% (fixed stop),50k,pct_balance,consistency
10,90,113998.80000000187,102598.92000000167,53410.0,49188.92000000167,10,pct 0.5% (fixed stop),50k,pct_balance,consistency
1,8,9063.98000000012,8157.582000000109,5488.0,2669.5820000001086,2,pct 0.5% (fixed stop),50k,pct_mll,standard
2,16,18127.96000000024,16315.164000000217,10976.0,5339.164000000217,4,pct 0.5% (fixed stop),50k,pct_mll,standard
3,24,27191.94000000036,24472.746000000327,16464.0,8008.746000000327,6,pct 0.5% (fixed stop),50k,pct_mll,standard
5,40,45319.9000000006,40787.91000000054,27440.0,13347.910000000542,10,pct 0.5% (fixed stop),50k,pct_mll,standard
10,80,90639.8000000012,81575.82000000108,54880.0,26695.820000001084,20,pct 0.5% (fixed stop),50k,pct_mll,standard
1,9,11399.880000000187,10259.892000000167,5341.0,4918.892000000167,1,pct 0.5% (fixed stop),50k,pct_mll,consistency
2,18,22799.760000000373,20519.784000000334,10682.0,9837.784000000334,2,pct 0.5% (fixed stop),50k,pct_mll,consistency
3,27,34199.64000000056,30779.6760000005,16023.0,14756.676000000502,3,pct 0.5% (fixed stop),50k,pct_mll,consistency
5,45,56999.40000000093,51299.460000000836,26705.0,24594.460000000836,5,pct 0.5% (fixed stop),50k,pct_mll,consistency
10,90,113998.80000000187,102598.92000000167,53410.0,49188.92000000167,10,pct 0.5% (fixed stop),50k,pct_mll,consistency
1,21,24947.160000000717,22452.444000000643,4802.0,17650.444000000643,2,pct 0.5% (fixed stop),100k,fixed_dollar,standard
2,42,49894.32000000143,44904.88800000129,9604.0,35300.88800000129,4,pct 0.5% (fixed stop),100k,fixed_dollar,standard
3,63,74841.48000000215,67357.33200000193,14406.0,52951.33200000193,6,pct 0.5% (fixed stop),100k,fixed_dollar,standard
5,105,124735.80000000358,112262.22000000322,24010.0,88252.22000000322,10,pct 0.5% (fixed stop),100k,fixed_dollar,standard
10,210,249471.60000000717,224524.44000000643,48020.0,176504.44000000643,20,pct 0.5% (fixed stop),100k,fixed_dollar,standard
1,21,28351.04000000046,25515.936000000413,4753.0,20762.936000000413,0,pct 0.5% (fixed stop),100k,fixed_dollar,consistency
2,42,56702.08000000092,51031.872000000825,9506.0,41525.872000000825,0,pct 0.5% (fixed stop),100k,fixed_dollar,consistency
3,63,85053.12000000138,76547.80800000124,14259.0,62288.80800000124,0,pct 0.5% (fixed stop),100k,fixed_dollar,consistency
5,105,141755.20000000228,127579.68000000206,23765.0,103814.68000000206,0,pct 0.5% (fixed stop),100k,fixed_dollar,consistency
10,210,283510.40000000456,255159.36000000412,47530.0,207629.36000000412,0,pct 0.5% (fixed stop),100k,fixed_dollar,consistency
1,17,43404.51999999973,39064.06799999976,7840.0,31224.06799999976,12,pct 0.5% (fixed stop),100k,pct_balance,standard
2,34,86809.03999999946,78128.13599999952,15680.0,62448.13599999952,24,pct 0.5% (fixed stop),100k,pct_balance,standard
3,51,130213.55999999918,117192.20399999927,23520.0,93672.20399999927,36,pct 0.5% (fixed stop),100k,pct_balance,standard
5,85,217022.59999999864,195320.3399999988,39200.0,156120.3399999988,60,pct 0.5% (fixed stop),100k,pct_balance,standard
10,170,434045.1999999973,390640.6799999976,78400.0,312240.6799999976,120,pct 0.5% (fixed stop),100k,pct_balance,standard
1,8,27559.179999999847,24803.261999999864,6419.0,18384.261999999864,1,pct 0.5% (fixed stop),100k,pct_balance,consistency
2,16,55118.359999999695,49606.52399999973,12838.0,36768.52399999973,2,pct 0.5% (fixed stop),100k,pct_balance,consistency
3,24,82677.53999999954,74409.78599999959,19257.0,55152.785999999585,3,pct 0.5% (fixed stop),100k,pct_balance,consistency
5,40,137795.89999999924,124016.30999999933,32095.0,91921.30999999933,5,pct 0.5% (fixed stop),100k,pct_balance,consistency
10,80,275591.7999999985,248032.61999999866,64190.0,183842.61999999866,10,pct 0.5% (fixed stop),100k,pct_balance,consistency
1,7,16671.15999999999,15004.04399999999,5586.0,9418.04399999999,4,pct 0.5% (fixed stop),100k,pct_mll,standard
2,14,33342.31999999998,30008.08799999998,11172.0,18836.08799999998,8,pct 0.5% (fixed stop),100k,pct_mll,standard
3,21,50013.47999999997,45012.13199999997,16758.0,28254.13199999997,12,pct 0.5% (fixed stop),100k,pct_mll,standard
5,35,83355.79999999994,75020.21999999996,27930.0,47090.21999999996,20,pct 0.5% (fixed stop),100k,pct_mll,standard
10,70,166711.5999999999,150040.43999999992,55860.0,94180.43999999992,40,pct 0.5% (fixed stop),100k,pct_mll,standard
1,6,19954.579999999973,17959.121999999974,5684.0,12275.121999999974,0,pct 0.5% (fixed stop),100k,pct_mll,consistency
2,12,39909.159999999945,35918.24399999995,11368.0,24550.243999999948,0,pct 0.5% (fixed stop),100k,pct_mll,consistency
3,18,59863.73999999992,53877.36599999992,17052.0,36825.36599999992,0,pct 0.5% (fixed stop),100k,pct_mll,consistency
5,30,99772.89999999986,89795.60999999987,28420.0,61375.60999999987,0,pct 0.5% (fixed stop),100k,pct_mll,consistency
10,60,199545.79999999973,179591.21999999974,56840.0,122751.21999999974,0,pct 0.5% (fixed stop),100k,pct_mll,consistency
1,29,48218.020000003016,43396.218000002715,3871.0,39525.218000002715,3,pct 0.5% (fixed stop),150k,fixed_dollar,standard
2,58,96436.04000000603,86792.43600000543,7742.0,79050.43600000543,6,pct 0.5% (fixed stop),150k,fixed_dollar,standard
3,87,144654.06000000905,130188.65400000814,11613.0,118575.65400000814,9,pct 0.5% (fixed stop),150k,fixed_dollar,standard
5,145,241090.10000001508,216981.0900000136,19355.0,197626.0900000136,15,pct 0.5% (fixed stop),150k,fixed_dollar,standard
10,290,482180.20000003016,433962.1800000272,38710.0,395252.1800000272,30,pct 0.5% (fixed stop),150k,fixed_dollar,standard
1,19,26013.700000001758,23412.33000000158,3479.0,19933.33000000158,0,pct 0.5% (fixed stop),150k,fixed_dollar,consistency
2,38,52027.400000003516,46824.66000000316,6958.0,39866.66000000316,0,pct 0.5% (fixed stop),150k,fixed_dollar,consistency
3,57,78041.10000000527,70236.99000000473,10437.0,59799.990000004735,0,pct 0.5% (fixed stop),150k,fixed_dollar,consistency
5,95,130068.50000000879,117061.65000000791,17395.0,99666.65000000791,0,pct 0.5% (fixed stop),150k,fixed_dollar,consistency
10,190,260137.00000001758,234123.30000001582,34790.0,199333.30000001582,0,pct 0.5% (fixed stop),150k,fixed_dollar,consistency
1,14,60175.12000000023,54157.608000000204,7595.0,46562.608000000204,11,pct 0.5% (fixed stop),150k,pct_balance,standard
2,28,120350.24000000046,108315.21600000041,15190.0,93125.21600000041,22,pct 0.5% (fixed stop),150k,pct_balance,standard
3,42,180525.36000000068,162472.8240000006,22785.0,139687.8240000006,33,pct 0.5% (fixed stop),150k,pct_balance,standard
5,70,300875.60000000114,270788.040000001,37975.0,232813.04000000103,55,pct 0.5% (fixed stop),150k,pct_balance,standard
10,140,601751.2000000023,541576.080000002,75950.0,465626.08000000205,110,pct 0.5% (fixed stop),150k,pct_balance,standard
