tier,strategy,policy,中位净,平均净,盈利%,中位订阅费
50k,pct 0.5% 固定止损,immediate,1174.3980000000402,764.4545818182332,65.45454545454545,2793.0
50k,pct 0.5% 固定止损,half_buffer,-547.9764999999729,-212.63214090906575,43.63636363636363,2842.0
50k,pct 0.5% 固定止损,accumulate,-993.0,-480.94545454545454,43.63636363636363,2793.0
50k,pct 0.75% 固定止损,immediate,993.5639999999862,825.2580727272947,61.81818181818181,2695.0
50k,pct 0.75% 固定止损,half_buffer,1836.4405000000015,754.9224681818449,63.63636363636363,2695.0
50k,pct 0.75% 固定止损,accumulate,2656.0,1598.0363636363636,61.81818181818181,2744.0
50k,fixed N=2 移动止损,immediate,6823.5479999999625,6612.271563636318,83.63636363636363,2401.0
50k,fixed N=2 移动止损,half_buffer,6709.271374999955,6732.699123863573,80.0,2156.0
50k,fixed N=2 移动止损,accumulate,4456.0,3796.2181818181816,81.81818181818183,2499.0
100k,pct 0.5% 固定止损,immediate,2668.4100000000717,2904.4086545455725,98.18181818181819,5445.0
100k,pct 0.5% 固定止损,half_buffer,3601.5907500002686,3608.904697159234,96.36363636363636,5148.0
100k,pct 0.5% 固定止损,accumulate,4020.083999999799,4322.384836363799,100.0,5346.0
100k,pct 0.75% 固定止损,immediate,3095.4420000006603,2488.6384363641982,83.63636363636363,4752.0
100k,pct 0.75% 固定止损,half_buffer,1883.0520000005818,2179.490213352721,61.81818181818181,4356.0
100k,pct 0.75% 固定止损,accumulate,3437.4960000009714,2702.1370909093885,89.0909090909091,4752.0
100k,fixed N=2 移动止损,immediate,634.3200000008801,10.742400000747512,56.36363636363636,4950.0
100k,fixed N=2 移动止损,half_buffer,-437.37074999915967,-1131.5812090903069,43.63636363636363,4851.0
100k,fixed N=2 移动止损,accumulate,-1135.25999999934,-1369.5126545451672,29.09090909090909,5049.0
150k,pct 0.5% 固定止损,immediate,1401.660000001304,3652.489309091721,80.0,8955.0
150k,pct 0.5% 固定止损,half_buffer,-899.3923437488793,-1743.689202840663,20.0,9154.0
150k,pct 0.5% 固定止损,accumulate,-2387.5400000003974,-2620.2370909087563,27.27272727272727,9353.0
150k,pct 0.75% 固定止损,immediate,-2401.5620000005174,-1038.21047272697,40.0,10149.0
150k,pct 0.75% 固定止损,half_buffer,-907.037249998777,-844.4070098984728,45.45454545454545,9552.0
150k,pct 0.75% 固定止损,accumulate,-2943.4880000010535,23.460727273241883,40.0,10348.0
150k,fixed N=2 移动止损,immediate,-7035.707999998372,-6990.311490908356,3.6363636363636362,10945.0
150k,fixed N=2 移动止损,half_buffer,-7989.938624998613,-7423.732657502032,9.090909090909092,10945.0
150k,fixed N=2 移动止损,accumulate,-6697.359999999497,-7138.032654544745,7.2727272727272725,10348.0
