session_date,direction,entry,exit,stop_pts,contracts,pnl,exit_reason,bars_held
2025-01-02,short,21266.5,21373.0,106.25,2,-428.68,stop,20
2025-01-03,long,21332.0,21510.0,106.75,2,709.32,time,360
2025-01-06,long,21779.75,21670.5,109.0,2,-439.68,stop,323
2025-01-07,short,21749.25,21303.0,108.75,2,1782.32,time,360
2025-01-08,long,21371.25,21264.25,106.75,2,-430.68,stop,39
2025-01-10,short,21159.0,20998.0,105.75,2,641.32,time,360
2025-01-13,short,20763.25,20867.25,103.75,2,-418.68,stop,71
2025-01-14,long,21072.25,20966.75,105.25,2,-424.68,stop,25
2025-01-15,long,21263.5,21443.0,106.25,2,715.32,time,360
2025-01-16,short,21427.75,21325.0,107.25,2,408.32,time,360
2025-01-17,long,21555.5,21618.25,107.75,2,248.32,time,360
2025-01-21,short,21689.5,21736.25,108.5,2,-189.68,time,360
2025-01-22,long,21960.75,22024.5,109.75,2,252.32,time,360
2025-01-23,long,21898.25,21966.75,109.5,2,271.32,time,360
2025-01-24,short,22018.0,21872.25,110.0,2,580.32,time,360
2025-01-27,long,21238.0,21131.5,106.25,2,-428.68,stop,314
2025-01-28,short,21258.5,21365.0,106.25,2,-428.68,stop,32
2025-01-29,short,21537.5,21583.25,107.75,2,-185.68,time,360
2025-01-30,short,21619.25,21727.5,108.0,2,-435.68,stop,15
2025-01-31,long,21812.25,21703.0,109.0,2,-439.68,stop,272
2025-02-03,long,21226.5,21120.0,106.25,2,-428.68,stop,43
2025-02-04,long,21452.25,21638.75,107.25,2,743.32,time,360
2025-02-05,long,21545.0,21733.75,107.75,2,752.32,time,360
2025-02-06,short,21761.75,21798.75,108.75,2,-150.68,time,360
2025-02-07,long,21945.75,21835.75,109.75,2,-442.68,stop,26
2025-02-10,short,21752.25,21861.25,108.75,2,-438.68,stop,48
2025-02-11,long,21774.5,21799.5,108.75,2,97.32,time,360
2025-02-12,long,21591.5,21821.0,108.0,2,915.32,time,360
2025-02-13,long,21937.5,22066.5,109.75,2,513.32,time,360
2025-02-14,long,22113.0,22201.25,110.5,2,350.32,time,360
2025-02-18,short,22250.0,22170.5,111.25,2,315.32,time,360
2025-02-19,short,22197.5,22241.25,111.0,2,-177.68,time,360
2025-02-20,short,22173.5,22107.75,110.75,2,260.32,time,360
2025-02-21,short,22153.25,21706.0,110.75,2,1786.32,time,360
2025-02-24,short,21738.75,21547.0,108.75,2,764.32,time,360
2025-02-25,short,21346.75,21214.5,106.75,2,526.32,time,360
2025-02-26,short,21207.0,21313.25,106.0,2,-427.68,stop,21
2025-02-27,long,21347.0,21240.0,106.75,2,-430.68,stop,8
2025-02-28,short,20465.0,20567.5,102.25,2,-412.68,stop,2
2025-03-03,long,21088.0,20982.25,105.5,2,-425.68,stop,5
2025-03-04,short,20308.25,20410.0,101.5,2,-409.68,stop,3
2025-03-05,short,20414.75,20517.0,102.0,2,-411.68,stop,197
2025-03-06,short,20280.75,20382.5,101.5,2,-409.68,stop,30
2025-03-07,long,20100.75,20000.0,100.5,2,-405.68,stop,57
2025-03-10,short,19818.25,19532.0,99.0,2,1142.32,time,360
2025-03-11,short,19422.25,19519.5,97.0,2,-391.68,stop,3
2025-03-12,long,19736.0,19637.0,98.75,2,-398.68,stop,14
2025-03-13,long,19563.25,19465.25,97.75,2,-394.68,stop,11
2025-03-14,long,19538.0,19440.0,97.75,2,-394.68,stop,26
2025-03-17,long,19758.25,19659.25,98.75,2,-398.68,stop,89
2025-03-18,short,19637.75,19515.5,98.25,2,486.32,time,360
2025-03-19,long,19567.25,19780.0,97.75,2,848.32,time,360
2025-03-20,long,19866.25,19853.0,99.25,2,-55.68,time,360
2025-03-21,short,19655.75,19754.25,98.25,2,-396.68,stop,49
2025-03-24,short,20233.75,20335.25,101.25,2,-408.68,stop,23
2025-03-25,short,20402.25,20455.5,102.0,2,-215.68,time,360
2025-03-26,short,20428.25,20080.0,102.25,2,1390.32,time,360
2025-03-27,short,19996.5,20096.75,100.0,2,-403.68,stop,26
2025-03-28,short,19866.75,19427.25,99.25,2,1755.32,time,360
2025-03-31,short,19033.0,19128.5,95.25,2,-384.68,stop,27
2025-04-01,short,19368.5,19465.5,96.75,2,-390.68,stop,76
2025-04-02,long,19418.25,19733.5,97.0,2,1258.32,time,360
2025-04-03,long,19051.0,18955.5,95.25,2,-384.68,stop,12
2025-04-04,short,18163.5,17844.0,90.75,2,1275.32,time,360
2025-04-07,short,16907.0,16991.75,84.5,2,-341.68,stop,16
2025-04-08,long,18169.75,18078.75,90.75,2,-366.68,stop,3
2025-04-09,long,17276.0,19232.75,86.5,2,7824.32,time,360
2025-04-10,short,18819.5,18452.75,94.0,2,1464.32,time,360
2025-04-11,short,18414.5,18506.75,92.0,2,-371.68,stop,5
2025-04-14,short,19183.25,19045.75,96.0,2,547.32,time,360
2025-04-15,long,19014.0,18918.75,95.0,2,-383.68,stop,229
2025-04-16,short,18624.75,18718.0,93.0,2,-375.68,stop,111
2025-04-17,short,18411.25,18503.5,92.0,2,-371.68,stop,20
2025-04-21,long,18151.75,18060.75,90.75,2,-366.68,stop,3
2025-04-22,short,18110.75,18201.5,90.5,2,-365.68,stop,10
2025-04-23,long,18987.75,18892.5,95.0,2,-383.68,stop,113
2025-04-24,long,18885.0,19252.5,94.5,2,1467.32,time,360
2025-04-25,long,19327.25,19479.25,96.75,2,605.32,time,360
2025-04-28,short,19497.0,19594.75,97.5,2,-393.68,stop,10
2025-04-29,long,19447.75,19651.0,97.25,2,810.32,time,360
2025-04-30,short,19295.25,19392.0,96.5,2,-389.68,stop,95
2025-05-01,short,19938.0,20038.0,99.75,2,-402.68,stop,66
2025-05-02,long,20087.25,20210.5,100.5,2,490.32,time,360
2025-05-05,long,20030.75,20118.75,100.25,2,349.32,time,360
2025-05-06,long,19837.0,19961.0,99.25,2,493.32,time,360
2025-05-07,short,19895.0,19770.25,99.5,2,496.32,time,360
2025-05-08,short,20112.0,20212.75,100.5,2,-405.68,stop,122
2025-05-09,long,20260.75,20159.25,101.25,2,-408.68,stop,52
2025-05-12,short,20805.75,20910.0,104.0,2,-419.68,stop,213
2025-05-13,long,21037.75,21326.5,105.25,2,1152.32,time,360
2025-05-14,long,21395.75,21288.5,107.0,2,-431.68,stop,14
2025-05-15,long,21332.75,21359.0,106.75,2,102.32,time,360
2025-05-16,short,21426.75,21481.0,107.25,2,-219.68,time,360
2025-05-19,long,21248.0,21464.5,106.25,2,863.32,time,360
2025-05-20,short,21420.5,21404.25,107.0,2,62.32,time,360
2025-05-21,long,21319.5,21212.75,106.5,2,-429.68,stop,235
2025-05-22,short,21124.0,21229.75,105.5,2,-425.68,stop,18
2025-05-23,long,20909.25,21034.75,104.5,2,499.32,time,360
2025-05-27,short,21234.25,21340.75,106.25,2,-428.68,stop,30
2025-05-28,long,21525.25,21417.5,107.5,2,-433.68,stop,318
2025-05-29,short,21609.75,21382.25,108.0,2,907.32,time,360
2025-05-30,short,21341.75,21372.0,106.75,2,-123.68,time,360
2025-06-02,long,21405.5,21298.25,107.0,2,-431.68,stop,26
2025-06-03,short,21532.0,21640.0,107.75,2,-434.68,stop,77
2025-06-04,long,21755.25,21646.25,108.75,2,-438.68,stop,34
2025-06-05,short,21800.75,21910.0,109.0,2,-439.68,stop,104
2025-06-06,long,21779.0,21803.75,109.0,2,96.32,time,360
2025-06-09,short,21778.5,21887.75,109.0,2,-439.68,stop,58
2025-06-10,short,21825.5,21935.0,109.25,2,-440.68,stop,322
2025-06-11,short,21972.0,21828.5,109.75,2,571.32,time,360
2025-06-12,long,21846.0,21927.5,109.25,2,323.32,time,360
2025-06-13,long,21764.0,21655.0,108.75,2,-438.68,stop,46
2025-06-16,long,21848.75,21931.25,109.25,2,327.32,time,360
2025-06-17,long,21860.25,21750.75,109.25,2,-440.68,stop,252
2025-06-18,short,21930.25,22040.25,109.75,2,-442.68,stop,35
2025-06-20,long,22089.75,21979.0,110.5,2,-445.68,stop,34
2025-06-23,short,21783.75,21893.0,109.0,2,-439.68,stop,11
2025-06-24,long,22294.75,22423.5,111.5,2,512.32,time,360
2025-06-25,long,22518.25,22405.5,112.5,2,-453.68,stop,246
2025-06-26,short,22534.75,22647.75,112.75,2,-454.68,stop,246
2025-06-27,short,22717.5,22690.0,113.5,2,107.32,time,360
2025-06-30,short,22825.0,22881.5,114.25,2,-228.68,time,360
2025-07-01,long,22804.25,22690.0,114.0,2,-459.68,stop,72
2025-07-02,long,22668.25,22830.5,113.25,2,646.32,time,360
2025-07-03,long,22964.25,23058.75,114.75,2,375.32,session_end,220
2025-07-07,short,22926.0,22858.25,114.75,2,268.32,time,360
2025-07-08,short,22902.0,22890.25,114.5,2,44.32,time,360
2025-07-09,long,23024.75,23038.5,115.0,2,52.32,time,360
2025-07-10,short,23031.75,23034.75,115.25,2,-14.68,time,360
2025-07-11,long,22931.0,22978.75,114.75,2,188.32,time,360
2025-07-14,long,22935.5,23034.0,114.75,2,391.32,time,360
2025-07-15,short,23161.25,23087.75,115.75,2,291.32,time,360
2025-07-16,short,23026.75,23069.5,115.25,2,-173.68,time,360
2025-07-17,short,23084.5,23200.25,115.5,2,-465.68,stop,86
2025-07-18,long,23292.0,23175.25,116.5,2,-469.68,stop,182
2025-07-21,long,23300.5,23366.25,116.5,2,260.32,time,360
2025-07-22,short,23289.25,23242.75,116.5,2,183.32,time,360
2025-07-23,short,23220.0,23283.5,116.0,2,-256.68,time,360
2025-07-24,long,23368.0,23415.25,116.75,2,186.32,time,360
2025-07-25,short,23364.5,23442.25,116.75,2,-313.68,time,360
2025-07-28,long,23494.5,23458.5,117.5,2,-146.68,time,360
2025-07-29,long,23631.75,23513.25,118.25,2,-476.68,stop,91
2025-07-30,short,23486.25,23412.25,117.5,2,293.32,time,360
2025-07-31,short,23678.25,23391.25,118.5,2,1145.32,time,360
2025-08-01,short,23012.75,22884.25,115.0,2,511.32,time,360
2025-08-04,long,23129.75,23259.75,115.75,2,517.32,time,360
2025-08-05,short,23308.5,23165.75,116.5,2,568.32,time,360
2025-08-06,long,23219.75,23437.5,116.0,2,868.32,time,360
2025-08-07,long,23615.75,23497.5,118.0,2,-475.68,stop,114
2025-08-08,long,23547.0,23701.0,117.75,2,613.32,time,360
2025-08-11,short,23686.75,23654.0,118.5,2,128.32,time,360
2025-08-12,long,23780.75,23661.5,119.0,2,-479.68,stop,24
2025-08-13,long,24058.5,23938.0,120.25,2,-484.68,stop,73
2025-08-14,long,23903.0,23923.0,119.5,2,77.32,time,360
2025-08-15,short,23856.25,23811.25,119.25,2,177.32,time,360
2025-08-18,long,23815.25,23789.25,119.0,2,-106.68,time,360
2025-08-19,short,23667.25,23468.25,118.25,2,793.32,time,360
2025-08-20,short,23370.75,23339.25,116.75,2,123.32,time,360
2025-08-21,short,23241.5,23230.0,116.25,2,43.32,time,360
